session_id,query_id,config_hash,method,iteration,domain,complexity,is_baseline,latency_ms_total,latency_ms_retrieval,latency_ms_rerank,latency_ms_generation,ndcg_at_10,recall_at_50,coverage_at_n,contradiction_rate,hallucination_rate,retrieved_docs_count,ground_truth_count,contradictions_count,entities_covered_count,memory_mb,llm_calls,timeouts_occurred,fallbacks_used,timestamp
session_0,query_000,baseline_bm25_only_mixed_8972,baseline_bm25_only,0,mixed,medium,True,0.3235340118408203,0.12941360473632812,0.0970602035522461,0.0970602035522461,0.21015639635707856,0.3947439886228214,0.12689025947200683,0.0,0.3210745569150511,0,5,0,0,38.4921875,,,,1755930467.1930065
session_0,query_001,baseline_bm25_only_mixed_8676,baseline_bm25_only,0,mixed,medium,True,0.29087066650390625,0.1163482666015625,0.08726119995117188,0.08726119995117188,0.33164829700986376,0.3408908153433727,0.11008767771812183,0.0,0.23464895652088938,0,5,0,0,38.4921875,,,,1755930467.1933355
session_0,query_002,baseline_bm25_only_mixed_6937,baseline_bm25_only,0,mixed,medium,True,0.2849102020263672,0.11396408081054688,0.08547306060791016,0.08547306060791016,0.23050162269806493,0.3035192752310676,0.1505999498456709,0.0,0.18549537238710562,0,5,0,0,38.4921875,,,,1755930467.1936574
session_0,query_003,baseline_bm25_only_mixed_2369,baseline_bm25_only,0,mixed,medium,True,0.2837181091308594,0.11348724365234375,0.08511543273925781,0.08511543273925781,0.41109935879217974,0.43834619430162547,0.11651890331785952,0.0,0.12919259299231076,0,5,0,0,38.4921875,,,,1755930467.1939874
session_0,query_004,baseline_bm25_only_mixed_6733,baseline_bm25_only,0,mixed,medium,True,0.31113624572753906,0.12445449829101562,0.09334087371826172,0.09334087371826172,0.3863933781289387,0.39811281159094336,0.1470476913590196,0.0,0.1918865958326092,0,5,0,0,38.4921875,,,,1755930467.1943414
session_1,query_005,baseline_bm25_only_mixed_5632,baseline_bm25_only,0,mixed,medium,True,0.28514862060546875,0.1140594482421875,0.08554458618164062,0.08554458618164062,0.2578328140942757,0.42249154754414786,0.16567309015875947,0.0,0.251133958292961,0,5,0,0,38.4921875,,,,1755930467.1946633
session_1,query_006,baseline_bm25_only_mixed_816,baseline_bm25_only,0,mixed,medium,True,0.3020763397216797,0.12083053588867188,0.0906229019165039,0.0906229019165039,0.2926414162955313,0.49592008834521467,0.1793801066490424,0.0,0.11943834524259117,0,5,0,0,38.4921875,,,,1755930467.1950045
session_1,query_007,baseline_bm25_only_mixed_8613,baseline_bm25_only,0,mixed,medium,True,0.2887248992919922,0.11548995971679688,0.08661746978759766,0.08661746978759766,0.35629221787751086,0.5725509303430636,0.20239454783230476,0.0,0.11735666690701112,0,5,0,0,38.4921875,,,,1755930467.19533
session_1,query_008,baseline_bm25_only_mixed_2328,baseline_bm25_only,0,mixed,medium,True,0.2925395965576172,0.11701583862304688,0.08776187896728516,0.08776187896728516,0.39067370422489445,0.4606424399389644,0.10650310212887082,0.0,0.13711687766657316,0,5,0,0,38.4921875,,,,1755930467.1960912
session_1,query_009,baseline_bm25_only_mixed_7256,baseline_bm25_only,0,mixed,medium,True,0.3037452697753906,0.12149810791015625,0.09112358093261719,0.09112358093261719,0.26120965202128243,0.3350477999706053,0.19693048047615574,0.0,0.3901761792742823,0,5,0,0,38.4921875,,,,1755930467.1964386
session_2,query_010,baseline_bm25_only_mixed_6663,baseline_bm25_only,0,mixed,medium,True,0.2894401550292969,0.11577606201171875,0.08683204650878906,0.08683204650878906,0.42317232814252936,0.5163803658288926,0.17643135324299997,0.0,0.3986882037593862,0,5,0,0,38.4921875,,,,1755930467.1967661
session_2,query_011,baseline_bm25_only_mixed_2741,baseline_bm25_only,0,mixed,medium,True,0.2930164337158203,0.11720657348632812,0.0879049301147461,0.0879049301147461,0.39737183571366896,0.34740337924230613,0.13887668323711552,0.0,0.3301177431944184,0,5,0,0,38.4921875,,,,1755930467.1970985
session_2,query_012,baseline_bm25_only_mixed_8449,baseline_bm25_only,0,mixed,medium,True,0.2884864807128906,0.11539459228515625,0.08654594421386719,0.08654594421386719,0.48030149642872444,0.46678403822596093,0.21192700883649107,0.0,0.16654893007528287,0,5,0,0,38.4921875,,,,1755930467.1974247
session_2,query_013,baseline_bm25_only_mixed_4648,baseline_bm25_only,0,mixed,medium,True,0.28443336486816406,0.11377334594726562,0.08533000946044922,0.08533000946044922,0.4635836528990587,0.33298747348701435,0.2882017546777479,0.0,0.3091507948080705,0,5,0,0,38.4921875,,,,1755930467.1977456
session_2,query_014,baseline_bm25_only_mixed_8183,baseline_bm25_only,0,mixed,medium,True,0.2942085266113281,0.11768341064453125,0.08826255798339844,0.08826255798339844,0.31490446526264537,0.42037126018625615,0.24750909916082545,0.0,0.3972565980361219,0,5,0,0,38.4921875,,,,1755930467.1980793
